epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.329,2.27335,2.74432,2.03276,0.19376,0.12953,0.102,0.03193,1.32619,18.3931,1.28735,0.0683806,0.00166418,0.00166418
2,361.767,2.25252,2.51076,2.06177,0.34046,0.25705,0.20821,0.06891,1.1008,8.19723,1.07136,0.036681,0.00329787,0.00329787
3,539.575,2.15326,2.35314,1.98003,0.38979,0.38308,0.31779,0.11904,1.07216,22.8368,1.02247,0.00494831,0.00489856,0.00489856
4,719.283,2.08064,2.19398,1.91896,0.37092,0.39801,0.27733,0.09794,1.02522,14.131,0.98626,0.0048515,0.0048515,0.0048515
5,895.674,1.97262,2.00387,1.84186,0.64297,0.38474,0.45683,0.17361,1.02146,5.03068,1.0038,0.004802,0.004802,0.004802
6,1071.58,1.93849,1.94725,1.81236,0.56079,0.51031,0.49956,0.20045,0.98753,5.02116,0.94117,0.0047525,0.0047525,0.0047525
7,1246.69,1.90282,1.87064,1.77369,0.64232,0.4942,0.54636,0.22971,0.90992,2.72388,0.87006,0.004703,0.004703,0.004703
8,1422.35,1.86697,1.78698,1.73963,0.66741,0.53234,0.58728,0.25508,0.86713,9.02597,0.8219,0.0046535,0.0046535,0.0046535
9,1599.75,1.84859,1.7572,1.72818,0.63997,0.54063,0.59009,0.26326,0.90313,2.48253,0.87257,0.004604,0.004604,0.004604
10,1773.48,1.82595,1.71419,1.71461,0.65893,0.53506,0.59465,0.2409,0.89881,8.79284,0.87584,0.0045545,0.0045545,0.0045545
11,1949.11,1.80747,1.65551,1.67968,0.67843,0.5703,0.62619,0.27897,0.87809,3.44083,0.84643,0.004505,0.004505,0.004505
12,2128.12,1.78153,1.62681,1.67081,0.65121,0.60531,0.64708,0.29032,0.86585,4.55933,0.82725,0.0044555,0.0044555,0.0044555
13,2320.6,1.76811,1.58124,1.64724,0.7394,0.60365,0.68364,0.30949,0.85498,3.43704,0.82308,0.004406,0.004406,0.004406
14,2513.05,1.75729,1.56943,1.6386,0.63652,0.62729,0.63605,0.27488,0.85031,7.20962,0.81361,0.0043565,0.0043565,0.0043565
15,2703.9,1.73643,1.54014,1.62216,0.71699,0.63862,0.70597,0.32542,0.83276,2.45984,0.80262,0.004307,0.004307,0.004307
16,2896.13,1.74614,1.5314,1.62501,0.72437,0.64179,0.71134,0.33017,0.82761,2.27529,0.78811,0.0042575,0.0042575,0.0042575
17,3086.3,1.71373,1.48043,1.60212,0.68065,0.67511,0.71812,0.32315,0.85433,3.62581,0.80142,0.004208,0.004208,0.004208
18,3276.85,1.70933,1.47284,1.60188,0.75525,0.66335,0.73862,0.33584,0.84921,3.0373,0.79169,0.0041585,0.0041585,0.0041585
19,3468.39,1.70036,1.46264,1.58092,0.71811,0.68439,0.72102,0.34217,0.82301,3.5388,0.78105,0.004109,0.004109,0.004109
20,3646.87,1.67964,1.42015,1.57136,0.75247,0.67993,0.74704,0.34386,0.85394,3.34857,0.80273,0.0040595,0.0040595,0.0040595
21,3792,1.66701,1.42065,1.5561,0.75198,0.66667,0.74432,0.34727,0.82236,2.39124,0.77039,0.00401,0.00401,0.00401
22,3935.91,1.65681,1.39687,1.55332,0.76207,0.68519,0.76074,0.3533,0.81158,1.8641,0.77031,0.0039605,0.0039605,0.0039605
23,4098.2,1.64137,1.35348,1.53425,0.74165,0.7131,0.76143,0.36091,0.81127,2.23071,0.76633,0.003911,0.003911,0.003911
24,4284.09,1.63801,1.34041,1.53528,0.75219,0.69486,0.75612,0.36064,0.81305,2.0447,0.78722,0.0038615,0.0038615,0.0038615
25,4460.71,1.63289,1.34215,1.52735,0.76943,0.71944,0.77476,0.36337,0.80901,2.06986,0.76844,0.003812,0.003812,0.003812
26,4640.1,1.613,1.31766,1.51556,0.79423,0.75124,0.80795,0.39002,0.78808,1.37776,0.74742,0.0037625,0.0037625,0.0037625
27,4814.7,1.6031,1.28765,1.50312,0.80813,0.72637,0.8015,0.39523,0.77605,1.37892,0.74737,0.003713,0.003713,0.003713
28,4969.03,1.59394,1.25763,1.48854,0.82346,0.6932,0.79256,0.39194,0.80206,1.12031,0.75589,0.0036635,0.0036635,0.0036635
29,5113.04,1.58439,1.27095,1.49369,0.81529,0.73798,0.81022,0.39413,0.79233,1.28332,0.75953,0.003614,0.003614,0.003614
30,5256.83,1.58087,1.25471,1.48927,0.79481,0.75157,0.81342,0.40241,0.77696,2.25654,0.74335,0.0035645,0.0035645,0.0035645
31,5401,1.56026,1.21997,1.47535,0.80818,0.75124,0.80833,0.38084,0.79331,1.55085,0.74789,0.003515,0.003515,0.003515
32,5540.66,1.56178,1.21668,1.46862,0.83397,0.73302,0.82129,0.40617,0.78897,1.63943,0.74952,0.0034655,0.0034655,0.0034655
33,5684.05,1.55672,1.20823,1.46528,0.80859,0.7529,0.82188,0.39773,0.7832,1.1633,0.74326,0.003416,0.003416,0.003416
34,5823.99,1.53555,1.19562,1.45123,0.82708,0.75622,0.83374,0.41548,0.7623,1.63827,0.73013,0.0033665,0.0033665,0.0033665
35,5964.59,1.52976,1.17151,1.45322,0.79482,0.78109,0.83232,0.41076,0.77926,1.62363,0.74466,0.003317,0.003317,0.003317
36,6106,1.52841,1.16311,1.44378,0.83217,0.75954,0.83897,0.41313,0.77448,1.54405,0.73871,0.0032675,0.0032675,0.0032675
37,6247.61,1.52526,1.15272,1.43443,0.82301,0.76342,0.84388,0.42313,0.76545,1.27879,0.73102,0.003218,0.003218,0.003218
38,6389.48,1.51464,1.13081,1.42917,0.84561,0.75391,0.84216,0.42843,0.74986,1.43789,0.72418,0.0031685,0.0031685,0.0031685
39,6532.29,1.50023,1.12155,1.42735,0.83375,0.75685,0.839,0.41809,0.76319,1.41072,0.73913,0.003119,0.003119,0.003119
40,6673.83,1.50424,1.12575,1.43267,0.8512,0.76843,0.84569,0.4259,0.76073,1.3056,0.73438,0.0030695,0.0030695,0.0030695
41,6815.41,1.48963,1.12403,1.41277,0.83879,0.79385,0.85675,0.43119,0.7616,1.14304,0.73438,0.00302,0.00302,0.00302
42,6958.79,1.47796,1.11226,1.41083,0.84596,0.79934,0.86413,0.43448,0.76281,1.17071,0.74066,0.0029705,0.0029705,0.0029705
43,7100.7,1.47573,1.0883,1.40757,0.83335,0.79934,0.86368,0.43908,0.75422,1.03856,0.72485,0.002921,0.002921,0.002921
44,7242.25,1.46325,1.07021,1.40054,0.82684,0.801,0.85866,0.44122,0.75055,0.95168,0.72758,0.0028715,0.0028715,0.0028715
45,7384.44,1.46394,1.06423,1.39732,0.84073,0.79661,0.8551,0.4366,0.75771,1.08482,0.72935,0.002822,0.002822,0.002822
46,7525.33,1.45543,1.06814,1.38855,0.83636,0.80523,0.85777,0.44371,0.74479,1.05464,0.72511,0.0027725,0.0027725,0.0027725
47,7666.49,1.45254,1.05591,1.38188,0.82986,0.78773,0.86018,0.44514,0.74255,1.20312,0.72723,0.002723,0.002723,0.002723
48,7806.34,1.44031,1.0613,1.37819,0.84344,0.80431,0.86303,0.44672,0.74514,1.02418,0.72231,0.0026735,0.0026735,0.0026735
49,7950.79,1.44137,1.03415,1.3752,0.81863,0.81095,0.86572,0.44946,0.74846,1.00487,0.72998,0.002624,0.002624,0.002624
50,8090.84,1.43214,1.03733,1.36575,0.84035,0.79435,0.86476,0.44097,0.75229,1.11128,0.73195,0.0025745,0.0025745,0.0025745
51,8231.75,1.41418,1.03042,1.37081,0.87,0.79906,0.87552,0.44248,0.74904,1.04068,0.7327,0.002525,0.002525,0.002525
52,8373.73,1.41831,1.028,1.36306,0.84611,0.801,0.86446,0.4492,0.74823,0.93048,0.73091,0.0024755,0.0024755,0.0024755
53,8516.35,1.40548,1.00215,1.35643,0.85762,0.78607,0.8596,0.4508,0.74419,1.05772,0.72837,0.002426,0.002426,0.002426
54,8656.82,1.39223,0.99926,1.34716,0.86767,0.78773,0.86891,0.44998,0.74187,1.06994,0.72639,0.0023765,0.0023765,0.0023765
55,8797.99,1.38313,1.00257,1.33852,0.87143,0.80927,0.8777,0.45765,0.74132,0.92899,0.72394,0.002327,0.002327,0.002327
56,8939.85,1.38768,0.97889,1.33697,0.87422,0.8184,0.88288,0.45256,0.74083,0.92113,0.72415,0.0022775,0.0022775,0.0022775
57,9081.81,1.38082,0.97871,1.33443,0.85862,0.8126,0.86831,0.45395,0.73814,0.91313,0.7208,0.002228,0.002228,0.002228
58,9222.83,1.3797,0.97509,1.33105,0.84993,0.8126,0.86812,0.45555,0.74636,0.90009,0.72325,0.0021785,0.0021785,0.0021785
59,9364.78,1.36286,0.94964,1.32228,0.86113,0.79768,0.86875,0.45527,0.74411,0.94231,0.72554,0.002129,0.002129,0.002129
60,9506.36,1.3542,0.95133,1.32284,0.85996,0.79602,0.86805,0.45678,0.73819,0.90146,0.72268,0.0020795,0.0020795,0.0020795
61,9647.08,1.34407,0.94725,1.31081,0.86251,0.79104,0.86615,0.45126,0.74914,0.80199,0.73424,0.00203,0.00203,0.00203
62,9791.8,1.3471,0.945,1.31195,0.87457,0.78441,0.87194,0.45371,0.74122,0.78207,0.72791,0.0019805,0.0019805,0.0019805
63,9936.48,1.34032,0.93392,1.30617,0.87422,0.78379,0.87157,0.46108,0.73859,0.85274,0.7255,0.001931,0.001931,0.001931
64,10070.1,1.34489,0.93412,1.31341,0.87169,0.79104,0.87044,0.45951,0.73591,0.96359,0.722,0.0018815,0.0018815,0.0018815
65,10204.5,1.337,0.91581,1.30512,0.88299,0.79768,0.87937,0.46264,0.73319,0.9172,0.72289,0.001832,0.001832,0.001832
66,10337.7,1.30998,0.90138,1.29541,0.88538,0.80265,0.88246,0.46019,0.7331,0.89738,0.72354,0.0017825,0.0017825,0.0017825
67,10471.1,1.31285,0.90937,1.29626,0.86364,0.81926,0.87974,0.46254,0.73248,0.87451,0.72362,0.001733,0.001733,0.001733
68,10606.1,1.31794,0.90103,1.28919,0.88104,0.79835,0.8814,0.46548,0.73125,0.89638,0.72377,0.0016835,0.0016835,0.0016835
69,10738.4,1.30786,0.89267,1.2895,0.87489,0.8126,0.88826,0.46435,0.73267,0.87807,0.72548,0.001634,0.001634,0.001634
70,10876.2,1.30038,0.89254,1.28876,0.87527,0.80597,0.88213,0.46473,0.73431,0.81041,0.72721,0.0015845,0.0015845,0.0015845
71,11010,1.30264,0.892,1.27679,0.878,0.81159,0.88375,0.46634,0.73552,0.76475,0.72779,0.001535,0.001535,0.001535
72,11148.6,1.29187,0.88867,1.2751,0.86356,0.82921,0.88245,0.46722,0.73396,0.74198,0.72668,0.0014855,0.0014855,0.0014855
73,11282.5,1.28665,0.87625,1.27113,0.87795,0.81117,0.88031,0.4689,0.73295,0.73117,0.72798,0.001436,0.001436,0.001436
74,11428.6,1.27526,0.85245,1.2652,0.87954,0.80265,0.87571,0.46855,0.73135,0.73046,0.72703,0.0013865,0.0013865,0.0013865
75,11563.6,1.28193,0.86645,1.26516,0.88451,0.81592,0.88394,0.47035,0.73171,0.72951,0.72779,0.001337,0.001337,0.001337
76,11702.1,1.27571,0.86237,1.2676,0.86376,0.8325,0.88582,0.47191,0.72909,0.72731,0.72509,0.0012875,0.0012875,0.0012875
77,11837.7,1.26208,0.85208,1.25731,0.8644,0.82753,0.88226,0.47194,0.72966,0.72449,0.72595,0.001238,0.001238,0.001238
78,11976,1.25356,0.84741,1.24864,0.86867,0.82255,0.878,0.47113,0.73028,0.72079,0.72696,0.0011885,0.0011885,0.0011885
79,12111.3,1.24888,0.83635,1.24433,0.86783,0.8209,0.87814,0.47226,0.73018,0.70819,0.72671,0.001139,0.001139,0.001139
80,12249.7,1.24768,0.83756,1.23916,0.87334,0.81758,0.87781,0.47076,0.7317,0.71235,0.72895,0.0010895,0.0010895,0.0010895
81,12389.2,1.25288,0.84447,1.24779,0.88047,0.81924,0.87986,0.47141,0.73113,0.72017,0.72898,0.00104,0.00104,0.00104
82,12525.4,1.23498,0.82212,1.23622,0.87585,0.8209,0.88324,0.47444,0.73108,0.71255,0.72866,0.0009905,0.0009905,0.0009905
83,12660.1,1.241,0.82922,1.23556,0.86913,0.81924,0.88277,0.47488,0.72939,0.71153,0.72702,0.000941,0.000941,0.000941
84,12794.9,1.22926,0.821,1.23398,0.87063,0.82753,0.88301,0.47513,0.72943,0.70187,0.7282,0.0008915,0.0008915,0.0008915
85,12932.5,1.21287,0.81723,1.22939,0.87853,0.82919,0.88756,0.47439,0.72853,0.69777,0.72662,0.000842,0.000842,0.000842
86,13067.7,1.21413,0.8083,1.22639,0.87893,0.83075,0.88716,0.47442,0.72842,0.69468,0.7275,0.0007925,0.0007925,0.0007925
87,13206.3,1.21727,0.81606,1.22251,0.87574,0.8325,0.88681,0.47413,0.7288,0.68586,0.72844,0.000743,0.000743,0.000743
88,13342.3,1.20642,0.80519,1.2149,0.87087,0.82753,0.88246,0.47293,0.72931,0.67795,0.72973,0.0006935,0.0006935,0.0006935
89,13481,1.20281,0.80411,1.21902,0.86584,0.82415,0.87879,0.47094,0.72951,0.67687,0.73092,0.000644,0.000644,0.000644
