epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.358,2.30627,2.76787,2.09823,0.37454,0.199,0.17263,0.06707,1.1895,10.7558,1.19475,0.0683806,0.00166418,0.00166418
2,280.491,2.28311,2.59547,2.16411,0.36901,0.25871,0.20787,0.06778,1.16934,7.32122,1.17259,0.036681,0.00329787,0.00329787
3,418.081,2.17863,2.40881,2.08833,0.3844,0.31675,0.2837,0.10147,1.07567,7.62954,1.09288,0.00494831,0.00489856,0.00489856
4,553.542,2.11315,2.26669,2.03119,0.54375,0.34328,0.39258,0.15207,1.02489,4.18716,1.00706,0.0048515,0.0048515,0.0048515
5,685.572,2.00346,2.08876,1.93866,0.48652,0.43947,0.39285,0.1474,0.9837,5.71682,0.98929,0.004802,0.004802,0.004802
6,817.062,1.96928,2.04139,1.91219,0.53721,0.45239,0.46258,0.18304,0.93849,4.38614,0.96254,0.0047525,0.0047525,0.0047525
7,951.173,1.95046,1.99543,1.90728,0.49064,0.49999,0.44471,0.18152,0.90599,10.2698,0.93723,0.004703,0.004703,0.004703
8,1084.41,1.92298,1.91685,1.8737,0.56002,0.45382,0.44539,0.17557,0.9145,12.5401,0.9538,0.0046535,0.0046535,0.0046535
9,1217.35,1.90273,1.909,1.87296,0.58851,0.49917,0.51688,0.22714,0.91628,3.82627,0.96293,0.004604,0.004604,0.004604
10,1349.74,1.87782,1.83909,1.85261,0.61597,0.5058,0.54172,0.22712,0.9148,4.32411,0.95614,0.0045545,0.0045545,0.0045545
11,1482.96,1.86291,1.79412,1.83006,0.62744,0.54741,0.5682,0.24299,0.89105,5.06795,0.93008,0.004505,0.004505,0.004505
12,1620.75,1.84219,1.78652,1.82322,0.64242,0.58541,0.61186,0.26014,0.88664,6.5222,0.92736,0.0044555,0.0044555,0.0044555
13,1753.86,1.82945,1.73446,1.80377,0.62022,0.55058,0.59953,0.27059,0.91287,2.05284,0.93396,0.004406,0.004406,0.004406
14,1890.31,1.81372,1.71739,1.78801,0.66,0.54395,0.57606,0.24977,0.89233,3.27811,0.94549,0.0043565,0.0043565,0.0043565
15,2026.64,1.82099,1.71521,1.79945,0.64913,0.57048,0.60249,0.25903,0.86117,6.73671,0.90459,0.004307,0.004307,0.004307
16,2171.67,1.81309,1.6977,1.79623,0.64036,0.5937,0.6319,0.28091,0.86989,2.59194,0.89984,0.0042575,0.0042575,0.0042575
17,2305.64,1.79441,1.6662,1.77777,0.62002,0.59204,0.58496,0.24782,0.89382,6.72914,0.92595,0.004208,0.004208,0.004208
18,2441.07,1.79677,1.66565,1.78265,0.68034,0.59296,0.66069,0.28685,0.8719,2.45869,0.90528,0.0041585,0.0041585,0.0041585
19,2573.41,1.7908,1.6538,1.76569,0.67574,0.58706,0.65349,0.28925,0.85534,5.16359,0.8825,0.004109,0.004109,0.004109
20,2716.15,1.77508,1.61573,1.76383,0.63712,0.62687,0.62377,0.26316,0.86196,4.36569,0.88534,0.0040595,0.0040595,0.0040595
21,2859.81,1.77144,1.62548,1.76034,0.65496,0.58706,0.64888,0.29146,0.85304,2.09606,0.88759,0.00401,0.00401,0.00401
22,2997.37,1.76102,1.61178,1.75865,0.70316,0.64842,0.69918,0.30402,0.85031,2.46596,0.88369,0.0039605,0.0039605,0.0039605
23,3137.01,1.75086,1.56914,1.74566,0.69465,0.64891,0.67919,0.28621,0.88159,3.69308,0.90165,0.003911,0.003911,0.003911
24,3283.18,1.74003,1.55863,1.73535,0.71781,0.62189,0.66908,0.29825,0.8351,1.94282,0.87626,0.0038615,0.0038615,0.0038615
25,3425.17,1.75066,1.55474,1.74243,0.69876,0.64625,0.70022,0.29544,0.85986,5.19628,0.90572,0.003812,0.003812,0.003812
26,3564.8,1.73394,1.54305,1.73436,0.75484,0.63682,0.72054,0.33687,0.81558,2.99487,0.85932,0.0037625,0.0037625,0.0037625
27,3714.56,1.72234,1.51602,1.71406,0.641,0.65837,0.6897,0.32926,0.81261,3.88844,0.86152,0.003713,0.003713,0.003713
28,3862.97,1.71716,1.50103,1.70393,0.70997,0.6534,0.71355,0.32244,0.84472,3.20065,0.88517,0.0036635,0.0036635,0.0036635
29,4007.12,1.70513,1.51362,1.71687,0.71806,0.62355,0.71201,0.32638,0.84193,2.49937,0.87119,0.003614,0.003614,0.003614
30,4143.81,1.71241,1.48938,1.71109,0.72418,0.64443,0.71691,0.34242,0.80568,2.92482,0.84703,0.0035645,0.0035645,0.0035645
31,4287.01,1.69428,1.46357,1.69834,0.75422,0.69154,0.74079,0.33908,0.8175,3.13355,0.84469,0.003515,0.003515,0.003515
32,4426.16,1.69437,1.44243,1.69021,0.7449,0.68325,0.74978,0.34506,0.82302,2.74657,0.87012,0.0034655,0.0034655,0.0034655
33,4566.69,1.69955,1.45146,1.70036,0.73038,0.68734,0.729,0.33169,0.8356,2.52534,0.84901,0.003416,0.003416,0.003416
34,4705.84,1.67831,1.43724,1.68556,0.73277,0.70481,0.75892,0.34358,0.81632,1.99465,0.85246,0.0033665,0.0033665,0.0033665
35,4846.95,1.66619,1.42291,1.68386,0.75891,0.68908,0.76923,0.35916,0.81413,2.06002,0.8551,0.003317,0.003317,0.003317
36,4979.08,1.67197,1.41123,1.67732,0.74034,0.733,0.77696,0.35528,0.80278,2.48577,0.83422,0.0032675,0.0032675,0.0032675
37,5112.04,1.66884,1.40726,1.67065,0.75396,0.73632,0.77783,0.35229,0.81825,2.21949,0.848,0.003218,0.003218,0.003218
38,5246.51,1.65354,1.39777,1.66962,0.78528,0.69818,0.76907,0.36012,0.79659,1.68998,0.83258,0.0031685,0.0031685,0.0031685
39,5386.62,1.64519,1.38404,1.65868,0.75991,0.70861,0.78055,0.3547,0.82253,1.81751,0.85439,0.003119,0.003119,0.003119
