epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.375,2.00056,4.12503,1.73187,0.98259,0.00498,0.03173,0.01665,0.77599,11.4701,0.73391,0.0667497,3.32836e-05,3.32836e-05
2,274.413,1.85803,3.78516,1.59214,0.65874,0.06083,0.21984,0.08459,0.76721,14.8448,0.6993,0.033449,6.59574e-05,6.59574e-05
3,412.7,1.85699,3.17893,1.56831,0.49334,0.3864,0.39606,0.16787,0.78903,13.3742,0.71625,0.000147722,9.79712e-05,9.79712e-05
4,551.112,1.85331,2.6408,1.57659,0.61747,0.45771,0.50831,0.22203,0.7967,12.9221,0.71604,9.703e-05,9.703e-05,9.703e-05
5,686.956,1.8108,2.34856,1.52692,0.65091,0.52258,0.54355,0.24674,0.79558,11.7034,0.70636,9.604e-05,9.604e-05,9.604e-05
6,821.281,1.78097,2.20621,1.50134,0.66502,0.58274,0.59179,0.27155,0.78749,11.1783,0.69495,9.505e-05,9.505e-05,9.505e-05
7,956.389,1.75093,2.10051,1.47043,0.67792,0.60033,0.64517,0.29807,0.7851,10.1201,0.6897,9.406e-05,9.406e-05,9.406e-05
8,1093,1.72142,2.02024,1.44521,0.72748,0.61093,0.66771,0.31163,0.77118,8.79602,0.67704,9.307e-05,9.307e-05,9.307e-05
9,1229.87,1.70714,1.97393,1.42918,0.72349,0.62189,0.68308,0.31826,0.7725,8.20356,0.67591,9.208e-05,9.208e-05,9.208e-05
10,1365.08,1.69157,1.91184,1.41111,0.70259,0.62687,0.69256,0.31907,0.78549,7.63457,0.68427,9.109e-05,9.109e-05,9.109e-05
11,1503.16,1.68203,1.87083,1.40319,0.67579,0.66998,0.70443,0.34103,0.75393,6.99546,0.66293,9.01e-05,9.01e-05,9.01e-05
