epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5987.82,1.30946,0.88141,1.20485,0.88257,0.83582,0.89689,0.4954,0.71068,0.63398,0.65585,0.00029705,0.00029705,0.00029705
43,6126.02,1.3122,0.87656,1.20421,0.87085,0.86101,0.90001,0.49964,0.69847,0.78346,0.64753,0.0002921,0.0002921,0.0002921
44,6262.6,1.29806,0.86938,1.20071,0.86157,0.84245,0.90468,0.49834,0.70369,0.57299,0.64868,0.00028715,0.00028715,0.00028715
45,6399.71,1.29681,0.86749,1.19775,0.88207,0.8435,0.89674,0.49719,0.70231,0.62276,0.65001,0.0002822,0.0002822,0.0002822
46,6538.61,1.29022,0.86499,1.19578,0.86787,0.8524,0.89364,0.50177,0.69526,0.63403,0.64863,0.00027725,0.00027725,0.00027725
47,6675.04,1.28124,0.84887,1.18677,0.86023,0.86567,0.90158,0.49901,0.6908,0.67789,0.64695,0.0002723,0.0002723,0.0002723
48,6811.67,1.27555,0.84991,1.18269,0.87151,0.85075,0.89452,0.4955,0.69331,0.61202,0.64857,0.00026735,0.00026735,0.00026735
49,6953.19,1.26784,0.8364,1.17722,0.87362,0.85738,0.90267,0.4996,0.7009,0.5957,0.65131,0.0002624,0.0002624,0.0002624
50,7089.45,1.26539,0.83664,1.1738,0.89257,0.85426,0.89699,0.50267,0.69327,0.54813,0.64889,0.00025745,0.00025745,0.00025745
51,7225.28,1.24982,0.82736,1.17621,0.86142,0.85738,0.89036,0.50244,0.69821,0.62751,0.65749,0.0002525,0.0002525,0.0002525
52,7367.7,1.25839,0.82783,1.17612,0.87641,0.8524,0.90102,0.51297,0.6876,0.52683,0.64808,0.00024755,0.00024755,0.00024755
53,7505.76,1.24504,0.80741,1.16521,0.87482,0.84603,0.90362,0.50711,0.68534,0.49108,0.64382,0.0002426,0.0002426,0.0002426
54,7641.52,1.24386,0.80612,1.16647,0.88122,0.8607,0.9094,0.50725,0.69094,0.51407,0.64292,0.00023765,0.00023765,0.00023765
55,7781.77,1.2301,0.80888,1.16252,0.86941,0.86114,0.90782,0.51378,0.68784,0.56994,0.64229,0.0002327,0.0002327,0.0002327
56,7919.26,1.22786,0.79853,1.15796,0.89957,0.86157,0.91298,0.51095,0.69703,0.55983,0.64945,0.00022775,0.00022775,0.00022775
57,8056.49,1.22936,0.79617,1.15664,0.87699,0.85127,0.90359,0.50752,0.69556,0.58056,0.64612,0.0002228,0.0002228,0.0002228
58,8193.47,1.22608,0.79875,1.15205,0.88265,0.85572,0.90455,0.50676,0.6946,0.52444,0.64672,0.00021785,0.00021785,0.00021785
59,8332.09,1.19434,0.77374,1.1376,0.88509,0.85075,0.90891,0.50586,0.69299,0.5177,0.65296,0.0002129,0.0002129,0.0002129
60,8474.01,1.20371,0.77467,1.1435,0.86465,0.85904,0.90273,0.51146,0.68976,0.51118,0.64761,0.00020795,0.00020795,0.00020795
61,8625.09,1.19044,0.77408,1.13872,0.88043,0.85572,0.90611,0.50835,0.69173,0.50076,0.65167,0.000203,0.000203,0.000203
62,8765.11,1.18331,0.76741,1.13308,0.87193,0.86401,0.9115,0.50972,0.6934,0.49653,0.65476,0.00019805,0.00019805,0.00019805
63,8905.92,1.18674,0.76034,1.13189,0.8733,0.8573,0.90816,0.51261,0.69099,0.49437,0.65266,0.0001931,0.0001931,0.0001931
64,9041.33,1.18727,0.76203,1.13473,0.88116,0.8524,0.90855,0.51509,0.69048,0.50406,0.65169,0.00018815,0.00018815,0.00018815
65,9178.56,1.18132,0.75132,1.12998,0.87543,0.85081,0.90469,0.51333,0.68766,0.53268,0.65132,0.0001832,0.0001832,0.0001832
66,9316.95,1.15948,0.73688,1.12432,0.88349,0.85515,0.9047,0.51347,0.68821,0.54213,0.65143,0.00017825,0.00017825,0.00017825
67,9456.62,1.1575,0.73744,1.12327,0.88711,0.85406,0.9058,0.51145,0.68969,0.49574,0.65047,0.0001733,0.0001733,0.0001733
68,9594.77,1.16945,0.74156,1.12483,0.89801,0.84743,0.91063,0.5128,0.69081,0.47263,0.65332,0.00016835,0.00016835,0.00016835
69,9731.28,1.15769,0.73333,1.12305,0.8961,0.85819,0.91069,0.51096,0.69501,0.43827,0.65758,0.0001634,0.0001634,0.0001634
70,9869.96,1.14631,0.72974,1.12037,0.89506,0.86284,0.91182,0.51128,0.69472,0.41481,0.65743,0.00015845,0.00015845,0.00015845
71,10007.8,1.1558,0.7291,1.11635,0.8963,0.86002,0.91177,0.51813,0.69296,0.40077,0.65608,0.0001535,0.0001535,0.0001535
72,10146,1.13815,0.72905,1.1119,0.89107,0.86401,0.91331,0.51798,0.694,0.41123,0.65675,0.00014855,0.00014855,0.00014855
73,10283.7,1.13604,0.71476,1.10736,0.89155,0.87256,0.91279,0.51531,0.69643,0.41705,0.65992,0.0001436,0.0001436,0.0001436
74,10419.7,1.12736,0.70294,1.10494,0.89145,0.85803,0.9124,0.51552,0.69334,0.42332,0.66036,0.00013865,0.00013865,0.00013865
75,10555.6,1.12989,0.7126,1.10137,0.88503,0.86401,0.91275,0.51981,0.69202,0.42084,0.65882,0.0001337,0.0001337,0.0001337
76,10695.9,1.12118,0.70795,1.10562,0.88705,0.85961,0.91267,0.52013,0.68947,0.42801,0.65692,0.00012875,0.00012875,0.00012875
77,10833.2,1.11097,0.70058,1.10089,0.88663,0.86567,0.9137,0.52278,0.68792,0.42355,0.65636,0.0001238,0.0001238,0.0001238
78,10971.1,1.10573,0.692,1.09792,0.88187,0.8666,0.91581,0.52419,0.6877,0.4196,0.6569,0.00011885,0.00011885,0.00011885
79,11109.8,1.10277,0.68934,1.09226,0.88588,0.86401,0.91411,0.52451,0.68859,0.41512,0.65783,0.0001139,0.0001139,0.0001139
80,11247,1.09767,0.68837,1.08776,0.89409,0.85398,0.9144,0.5218,0.68693,0.42095,0.65682,0.00010895,0.00010895,0.00010895
81,11383.8,1.10559,0.6923,1.0962,0.89758,0.85738,0.9128,0.52032,0.68593,0.425,0.65591,0.000104,0.000104,0.000104
82,11522.5,1.08769,0.67205,1.08374,0.88571,0.86103,0.91265,0.52187,0.68584,0.42512,0.65571,9.905e-05,9.905e-05,9.905e-05
83,11660,1.09336,0.68134,1.0861,0.88355,0.8607,0.91243,0.52128,0.68437,0.43221,0.6549,9.41e-05,9.41e-05,9.41e-05
84,11795.4,1.08518,0.67496,1.08169,0.88587,0.86246,0.91194,0.52081,0.685,0.43713,0.65511,8.915e-05,8.915e-05,8.915e-05
85,11932.9,1.07048,0.67135,1.08011,0.88443,0.86401,0.91075,0.52008,0.68497,0.4434,0.6553,8.42e-05,8.42e-05,8.42e-05
86,12073.7,1.07005,0.66875,1.07725,0.88341,0.86235,0.90913,0.51921,0.68514,0.44227,0.65574,7.925e-05,7.925e-05,7.925e-05
87,12212,1.07186,0.66895,1.07529,0.88317,0.86567,0.90949,0.52087,0.6858,0.44353,0.65639,7.43e-05,7.43e-05,7.43e-05
88,12348.8,1.05978,0.66642,1.07107,0.88138,0.86259,0.90913,0.52064,0.68574,0.44947,0.65631,6.935e-05,6.935e-05,6.935e-05
89,12490,1.06222,0.66148,1.07395,0.8833,0.86401,0.90995,0.52148,0.68596,0.45265,0.65692,6.44e-05,6.44e-05,6.44e-05
