epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5755.92,1.41205,1.00536,1.31335,0.84906,0.79436,0.85786,0.46112,0.72343,0.78885,0.67866,0.0005941,0.0005941,0.0005941
43,5909.37,1.41265,0.99576,1.31445,0.87622,0.79827,0.87274,0.47206,0.71034,0.73376,0.67012,0.0005842,0.0005842,0.0005842
44,6065.91,1.3999,0.97478,1.3067,0.86789,0.81592,0.87877,0.47867,0.71417,0.79879,0.67708,0.0005743,0.0005743,0.0005743
45,6213.44,1.39045,0.98309,1.30464,0.85786,0.82421,0.88274,0.47498,0.73047,0.91392,0.68257,0.0005644,0.0005644,0.0005644
46,6354.94,1.38285,0.97315,1.30089,0.84003,0.80988,0.87165,0.486,0.71561,0.64611,0.68128,0.0005545,0.0005545,0.0005545
47,6487.39,1.38153,0.95462,1.29341,0.85111,0.82255,0.88453,0.48782,0.71894,0.60581,0.67863,0.0005446,0.0005446,0.0005446
48,6623.67,1.38414,0.96665,1.29746,0.87286,0.80929,0.8758,0.48096,0.72199,0.69148,0.67748,0.0005347,0.0005347,0.0005347
49,6759.09,1.36854,0.9464,1.28891,0.87839,0.80763,0.884,0.47987,0.72285,0.73653,0.68036,0.0005248,0.0005248,0.0005248
50,6892.4,1.37073,0.94547,1.28391,0.87805,0.81195,0.8891,0.48526,0.72015,0.61589,0.6778,0.0005149,0.0005149,0.0005149
51,7025.76,1.3555,0.93936,1.28518,0.8716,0.81924,0.88834,0.48896,0.70935,0.59157,0.67721,0.000505,0.000505,0.000505
52,7166.21,1.35511,0.93345,1.28154,0.86626,0.82753,0.8804,0.48573,0.72137,0.57626,0.68588,0.0004951,0.0004951,0.0004951
53,7299.12,1.33806,0.90448,1.27261,0.86755,0.85075,0.88911,0.49096,0.70939,0.67586,0.67252,0.0004852,0.0004852,0.0004852
54,7433.19,1.3362,0.91135,1.26741,0.85932,0.83067,0.88566,0.48626,0.7039,0.64156,0.67119,0.0004753,0.0004753,0.0004753
55,7566.37,1.32678,0.92096,1.26667,0.85585,0.82587,0.88121,0.49303,0.70574,0.56857,0.67279,0.0004654,0.0004654,0.0004654
56,7701.23,1.32311,0.89831,1.25707,0.86751,0.82421,0.88516,0.49166,0.70956,0.59508,0.67442,0.0004555,0.0004555,0.0004555
57,7835.91,1.31683,0.89806,1.25636,0.88461,0.82919,0.89183,0.49026,0.71592,0.55833,0.67955,0.0004456,0.0004456,0.0004456
58,7968.64,1.32088,0.895,1.25688,0.88083,0.82421,0.89407,0.49312,0.71389,0.51276,0.68264,0.0004357,0.0004357,0.0004357
59,8104.74,1.29709,0.87246,1.24249,0.87838,0.82587,0.89487,0.49284,0.71856,0.5257,0.68378,0.0004258,0.0004258,0.0004258
60,8238.81,1.29915,0.8695,1.2422,0.88477,0.82919,0.89944,0.49291,0.71016,0.52594,0.67718,0.0004159,0.0004159,0.0004159
61,8373.27,1.28607,0.87035,1.23535,0.88725,0.83524,0.90557,0.4985,0.71206,0.53155,0.68111,0.000406,0.000406,0.000406
62,8510.91,1.28341,0.87117,1.23161,0.85685,0.85368,0.89705,0.50345,0.71363,0.51774,0.6803,0.0003961,0.0003961,0.0003961
63,8651.71,1.2791,0.85559,1.22874,0.8743,0.84743,0.89689,0.50358,0.70973,0.53657,0.67952,0.0003862,0.0003862,0.0003862
64,8786.44,1.27819,0.86043,1.23351,0.86934,0.84909,0.90092,0.50564,0.7058,0.54877,0.67556,0.0003763,0.0003763,0.0003763
65,8921.5,1.27084,0.8432,1.22819,0.87108,0.8516,0.90038,0.50595,0.7046,0.52253,0.6763,0.0003664,0.0003664,0.0003664
66,9058.52,1.25625,0.82935,1.22291,0.88754,0.8408,0.90236,0.50488,0.70348,0.51634,0.67554,0.0003565,0.0003565,0.0003565
67,9196.36,1.25092,0.82946,1.21973,0.8818,0.84577,0.8981,0.50773,0.70412,0.4963,0.67656,0.0003466,0.0003466,0.0003466
68,9330.7,1.25227,0.82589,1.21277,0.87698,0.83748,0.89631,0.50768,0.70221,0.48526,0.67548,0.0003367,0.0003367,0.0003367
69,9465.01,1.24262,0.81971,1.21068,0.87795,0.83085,0.89272,0.50571,0.70488,0.5281,0.67479,0.0003268,0.0003268,0.0003268
70,9604.36,1.23947,0.81757,1.2118,0.87698,0.83416,0.89784,0.50903,0.70375,0.52872,0.67616,0.0003169,0.0003169,0.0003169
71,9740.05,1.24483,0.81277,1.20455,0.87665,0.82255,0.89977,0.51097,0.70333,0.50534,0.67534,0.000307,0.000307,0.000307
72,9875.94,1.22788,0.81214,1.20094,0.88237,0.81758,0.89893,0.5118,0.70486,0.49774,0.67427,0.0002971,0.0002971,0.0002971
73,10011.9,1.21863,0.79723,1.19557,0.87967,0.83651,0.9009,0.51385,0.70412,0.48783,0.67353,0.0002872,0.0002872,0.0002872
74,10146.2,1.20433,0.7818,1.18722,0.87061,0.83416,0.90142,0.51315,0.70212,0.48639,0.67257,0.0002773,0.0002773,0.0002773
75,10280.7,1.20941,0.79052,1.18614,0.86269,0.8408,0.89882,0.51373,0.70268,0.48995,0.67334,0.0002674,0.0002674,0.0002674
76,10414.2,1.20338,0.78747,1.18752,0.86853,0.83264,0.90037,0.51571,0.70129,0.48764,0.67316,0.0002575,0.0002575,0.0002575
77,10549.8,1.19151,0.78243,1.17833,0.88893,0.82753,0.90435,0.51585,0.69795,0.48585,0.67109,0.0002476,0.0002476,0.0002476
78,10687.7,1.18421,0.77294,1.17782,0.88954,0.82255,0.90164,0.51419,0.69637,0.46998,0.66858,0.0002377,0.0002377,0.0002377
79,10822.7,1.178,0.76252,1.17432,0.87945,0.83478,0.8982,0.51296,0.69692,0.44407,0.67007,0.0002278,0.0002278,0.0002278
80,10961.2,1.18042,0.7565,1.16953,0.87776,0.83582,0.89797,0.51308,0.69544,0.43882,0.66967,0.0002179,0.0002179,0.0002179
81,11099.7,1.17657,0.75694,1.17132,0.87412,0.84064,0.89666,0.51479,0.69467,0.43429,0.67004,0.000208,0.000208,0.000208
82,11237.4,1.16251,0.73775,1.15786,0.87458,0.84419,0.90121,0.51685,0.69344,0.43194,0.66951,0.0001981,0.0001981,0.0001981
83,11367.9,1.16485,0.75156,1.15664,0.87925,0.84245,0.90237,0.51688,0.69298,0.43558,0.66819,0.0001882,0.0001882,0.0001882
84,11497.7,1.1558,0.73659,1.15323,0.88326,0.84577,0.90335,0.51626,0.69399,0.43428,0.66973,0.0001783,0.0001783,0.0001783
85,11628.3,1.14373,0.73871,1.15702,0.88783,0.84577,0.90448,0.5148,0.69414,0.43287,0.67104,0.0001684,0.0001684,0.0001684
86,11758.8,1.13865,0.73074,1.14961,0.88429,0.84743,0.90264,0.51584,0.69454,0.42721,0.67165,0.0001585,0.0001585,0.0001585
87,11895.6,1.13954,0.73201,1.14383,0.88474,0.85289,0.90257,0.51568,0.69561,0.42532,0.67235,0.0001486,0.0001486,0.0001486
88,12030.7,1.1272,0.72146,1.13803,0.8846,0.85169,0.90116,0.51532,0.69619,0.42324,0.67227,0.0001387,0.0001387,0.0001387
89,12166.8,1.12286,0.71653,1.13923,0.88676,0.85406,0.90251,0.51651,0.69482,0.42353,0.67109,0.0001288,0.0001288,0.0001288
90,12302.7,1.11371,0.71708,1.13891,0.88685,0.8524,0.90335,0.51717,0.69412,0.42298,0.67037,0.0001189,0.0001189,0.0001189
91,12467.5,1.06955,0.58845,1.11356,0.88748,0.84909,0.90191,0.51762,0.69413,0.43085,0.67102,0.000109,0.000109,0.000109
92,12597.7,1.04511,0.5725,1.09848,0.8886,0.85075,0.90394,0.51982,0.69315,0.43245,0.67046,9.91e-05,9.91e-05,9.91e-05
93,12730.2,1.03739,0.56709,1.09819,0.88871,0.84754,0.90594,0.52189,0.69263,0.43521,0.67075,8.92e-05,8.92e-05,8.92e-05
94,12862.3,1.02316,0.55888,1.09152,0.88724,0.84909,0.90578,0.52285,0.69062,0.43467,0.66882,7.93e-05,7.93e-05,7.93e-05
95,12994.8,1.02248,0.55709,1.08918,0.89067,0.84743,0.90576,0.52257,0.68962,0.43537,0.66864,6.94e-05,6.94e-05,6.94e-05
96,13128.3,1.01243,0.55128,1.08319,0.89058,0.85038,0.90547,0.52369,0.68885,0.43522,0.66831,5.95e-05,5.95e-05,5.95e-05
97,13259.2,1.00239,0.54895,1.07771,0.89146,0.84909,0.90614,0.52454,0.68834,0.43616,0.66821,4.96e-05,4.96e-05,4.96e-05
98,13392.3,0.99925,0.54343,1.07437,0.88979,0.84743,0.90859,0.52344,0.68822,0.43838,0.66847,3.97e-05,3.97e-05,3.97e-05
99,13522.9,0.98652,0.5405,1.06888,0.88875,0.84792,0.9086,0.52512,0.68823,0.43969,0.6692,2.98e-05,2.98e-05,2.98e-05
100,13656.5,0.98595,0.53567,1.06964,0.88569,0.84809,0.90793,0.526,0.68795,0.44042,0.66928,1.99e-05,1.99e-05,1.99e-05
