epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.339,1.96184,4.02637,1.69318,0.60795,0.05473,0.19412,0.07387,0.78163,13.1766,0.71835,0.0668828,0.000166418,0.000166418
2,272.375,1.87597,2.92986,1.57985,0.58402,0.43771,0.45404,0.18305,0.83515,8.32798,0.7442,0.0337129,0.000329787,0.000329787
3,408.936,1.82064,2.18797,1.52267,0.62569,0.57214,0.60773,0.25747,0.81178,6.17244,0.71042,0.000539607,0.000489856,0.000489856
4,544.319,1.75321,1.8942,1.46177,0.67618,0.64065,0.6748,0.31684,0.77269,5.00778,0.67904,0.00048515,0.00048515,0.00048515
5,680.284,1.68249,1.72814,1.40408,0.67331,0.66335,0.70792,0.32217,0.7875,3.45358,0.68678,0.0004802,0.0004802,0.0004802
6,814.642,1.65999,1.66117,1.38305,0.78613,0.66998,0.75591,0.35458,0.78871,2.13349,0.66915,0.00047525,0.00047525,0.00047525
7,949.355,1.63335,1.58862,1.36296,0.75687,0.70726,0.76012,0.37353,0.74977,2.49127,0.65576,0.0004703,0.0004703,0.0004703
8,1085.47,1.61198,1.534,1.3417,0.78378,0.7274,0.76988,0.37994,0.74909,2.62465,0.65086,0.00046535,0.00046535,0.00046535
9,1221.12,1.59095,1.50749,1.32835,0.78598,0.72475,0.79566,0.38855,0.74437,1.53796,0.64344,0.0004604,0.0004604,0.0004604
10,1357.65,1.57109,1.45972,1.31281,0.75018,0.73702,0.78067,0.38746,0.73506,1.7709,0.64434,0.00045545,0.00045545,0.00045545
11,1494.05,1.56364,1.4089,1.30268,0.81077,0.74605,0.81597,0.41801,0.70621,1.93451,0.63221,0.0004505,0.0004505,0.0004505
12,1629.54,1.53363,1.39331,1.2911,0.82251,0.80695,0.82932,0.42144,0.7261,1.19372,0.63325,0.00044555,0.00044555,0.00044555
13,1768.35,1.52827,1.35919,1.28036,0.80943,0.76783,0.82987,0.41086,0.72936,1.1041,0.62988,0.0004406,0.0004406,0.0004406
14,1904.53,1.51687,1.33146,1.26491,0.83422,0.76949,0.83529,0.42122,0.72313,1.60086,0.62834,0.00043565,0.00043565,0.00043565
15,2040.05,1.51006,1.30571,1.26351,0.8339,0.77114,0.83239,0.43552,0.71452,1.44851,0.62638,0.0004307,0.0004307,0.0004307
16,2178.75,1.50313,1.28979,1.26478,0.8717,0.79998,0.85226,0.43135,0.71577,1.2678,0.62166,0.00042575,0.00042575,0.00042575
17,2313.34,1.47769,1.26504,1.24616,0.82804,0.80655,0.84591,0.4374,0.71127,1.04297,0.62402,0.0004208,0.0004208,0.0004208
18,2449.73,1.47689,1.25959,1.25059,0.87605,0.79699,0.86656,0.45402,0.70893,1.09319,0.62203,0.00041585,0.00041585,0.00041585
19,2583.49,1.4673,1.23341,1.24078,0.84602,0.81426,0.87353,0.46418,0.70432,0.99442,0.62202,0.0004109,0.0004109,0.0004109
20,2719.27,1.44918,1.21525,1.23267,0.85178,0.8126,0.86762,0.46074,0.70756,0.95681,0.61553,0.00040595,0.00040595,0.00040595
21,2852.74,1.44802,1.20039,1.22753,0.8365,0.80603,0.84952,0.44702,0.71114,1.09927,0.62149,0.000401,0.000401,0.000401
22,2988.91,1.43326,1.18499,1.22393,0.84787,0.81924,0.86979,0.46043,0.71121,0.88432,0.62485,0.00039605,0.00039605,0.00039605
23,3124.25,1.42472,1.16545,1.21864,0.8799,0.81095,0.87094,0.46429,0.70483,1.0518,0.62076,0.0003911,0.0003911,0.0003911
24,3258.45,1.42238,1.15347,1.21264,0.86502,0.81924,0.87384,0.47037,0.70297,0.82569,0.61605,0.00038615,0.00038615,0.00038615
25,3392.41,1.4208,1.14621,1.21239,0.88424,0.82255,0.88159,0.48027,0.69786,0.73271,0.60656,0.0003812,0.0003812,0.0003812
26,3529.09,1.40799,1.13925,1.21064,0.87,0.82125,0.88627,0.48904,0.68818,0.69398,0.60651,0.00037625,0.00037625,0.00037625
27,3664.74,1.39703,1.10889,1.20015,0.8734,0.8126,0.883,0.47129,0.6966,0.70864,0.61514,0.0003713,0.0003713,0.0003713
28,3801.56,1.38525,1.09919,1.18996,0.89432,0.8126,0.88444,0.47416,0.70474,0.84757,0.61954,0.00036635,0.00036635,0.00036635
29,3938.03,1.37998,1.09496,1.19619,0.89788,0.83111,0.89447,0.48494,0.67935,0.79141,0.60332,0.0003614,0.0003614,0.0003614
30,4074.86,1.37478,1.08613,1.19366,0.88154,0.8325,0.89665,0.49512,0.68338,0.75853,0.60674,0.00035645,0.00035645,0.00035645
31,4211.72,1.36697,1.06562,1.18729,0.86707,0.84245,0.89572,0.48943,0.68623,0.65881,0.60395,0.0003515,0.0003515,0.0003515
32,4346.01,1.37073,1.05882,1.18577,0.88162,0.83582,0.89651,0.4889,0.68137,0.65553,0.60127,0.00034655,0.00034655,0.00034655
33,4484.03,1.35133,1.05497,1.17905,0.89323,0.83246,0.89959,0.48801,0.68984,0.68112,0.60781,0.0003416,0.0003416,0.0003416
34,4626.71,1.3423,1.03642,1.17404,0.90516,0.8209,0.891,0.48498,0.68948,0.66156,0.60846,0.00033665,0.00033665,0.00033665
35,4761.69,1.34189,1.03502,1.17452,0.91233,0.82836,0.90365,0.50289,0.68179,0.65046,0.60133,0.0003317,0.0003317,0.0003317
36,4897.71,1.33965,1.02398,1.16777,0.88052,0.8325,0.90035,0.48892,0.6934,0.75205,0.60852,0.00032675,0.00032675,0.00032675
37,5032.87,1.3373,1.01869,1.16613,0.89229,0.83807,0.8948,0.49734,0.68432,0.70005,0.60178,0.0003218,0.0003218,0.0003218
38,5168.93,1.31796,1.00149,1.15496,0.89304,0.83078,0.89872,0.49761,0.68353,0.67641,0.60868,0.00031685,0.00031685,0.00031685
39,5305.51,1.3211,1.00501,1.15784,0.90344,0.83786,0.90636,0.50017,0.68216,0.66663,0.60239,0.0003119,0.0003119,0.0003119
40,5441.48,1.31414,1.00316,1.15734,0.89439,0.82919,0.89442,0.50263,0.67774,0.62816,0.60386,0.00030695,0.00030695,0.00030695
41,5577,1.31434,1.00131,1.15256,0.88879,0.83502,0.89341,0.50268,0.6729,0.66749,0.59855,0.000302,0.000302,0.000302
42,5713.12,1.30864,0.98931,1.15277,0.86859,0.84909,0.89472,0.5036,0.67679,0.68674,0.59928,0.00029705,0.00029705,0.00029705
43,5849.27,1.3095,0.98245,1.15464,0.8828,0.83416,0.89397,0.5002,0.68606,0.66671,0.60236,0.0002921,0.0002921,0.0002921
44,5982.39,1.29222,0.96805,1.14465,0.88717,0.84759,0.89466,0.49563,0.68153,0.61063,0.59966,0.00028715,0.00028715,0.00028715
45,6115.01,1.29086,0.96703,1.14778,0.89696,0.82919,0.8879,0.49884,0.68163,0.59725,0.60492,0.0002822,0.0002822,0.0002822
